Max Iterations,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Samples,MaxCats,Concentration
100,0.7924809467837522,0.039031470543387424,0.8,4.1,0.3,,250,6,0.16666666666666666
200,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
300,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
400,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
500,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
600,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
700,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
800,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
900,0.7920300463421877,0.03941438906362059,1.0,4.1,0.3,,250,6,0.16666666666666666
