NumSamples,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev
50,0.7642466140649276,0.04675718064181088,1.0,4.0,0.0
100,0.7916304188266474,0.026812715898722996,1.0,4.0,0.0
150,0.787523284586171,0.02603729352336311,1.0,4.0,0.0
200,0.777240747354555,0.026274595867774607,0.9,4.2,0.39999999999999997
250,0.7825141436665211,0.03481571579586339,1.0,4.1,0.3
300,0.7985846943814736,0.018196646339593156,0.8,4.1,0.3
350,0.7813001746036454,0.025533415264868152,0.7,4.3,0.45825756949558405
400,0.8001847898264811,0.01772807163085645,0.9,4.0,0.0
450,0.7982464592992722,0.01067187591657498,0.8,4.2,0.39999999999999997
